picture_name,x1,y1,x2,y2,confidence
1.png,266.2471923828125,669.0994262695312,385.1535949707031,793.45166015625,0.8784067630767822
2.png,266.336181640625,622.3795166015625,391.6622009277344,736.6322631835938,0.8344852328300476
3.png,163.76283264160156,752.7041015625,283.0304260253906,872.8561401367188,0.8495279550552368
4.png,220.15426635742188,715.3562622070312,330.281494140625,821.6392822265625,0.8091116547584534
5.png,274.66461181640625,662.3124389648438,395.65570068359375,778.7973022460938,0.8916827440261841
6.png,259.70599365234375,674.9769287109375,370.8377990722656,783.3802490234375,0.8659942150115967
7.png,255.3948516845703,674.6865844726562,366.14239501953125,784.5455932617188,0.851913571357727
8.png,240.0898895263672,711.6052856445312,364.07928466796875,823.845703125,0.8706391453742981
9.png,183.08526611328125,691.3612670898438,316.1198425292969,813.7037353515625,0.8615156412124634
10.png,262.7157897949219,631.9575805664062,382.91455078125,744.5633544921875,0.8795138597488403
11.png,292.38836669921875,718.8750610351562,425.7808532714844,841.8377685546875,0.8682742714881897
12.png,278.31121826171875,599.9961547851562,403.57940673828125,706.9534912109375,0.8713389039039612
13.png,309.3078918457031,703.908203125,431.4925231933594,821.4424438476562,0.8726957440376282
14.png,349.7596740722656,733.8193969726562,483.1960754394531,845.9190063476562,0.8569968342781067
15.png,312.84344482421875,709.9121704101562,444.7997131347656,830.8858032226562,0.8598247170448303
16.png,251.87181091308594,623.4729614257812,371.5671081542969,735.6293334960938,0.8651019334793091
17.png,119.57369995117188,582.80810546875,230.2538604736328,683.3507080078125,0.8859953284263611
18.png,239.654296875,706.619140625,349.7806091308594,813.3732299804688,0.8558949828147888
19.png,159.40562438964844,544.0768432617188,273.25067138671875,643.7660522460938,0.8760591745376587
20.png,285.3191833496094,741.5963134765625,427.43914794921875,863.83642578125,0.8333526849746704
21.png,429.31671142578125,712.5100708007812,564.654052734375,836.5195922851562,0.864285409450531
22.png,337.5139465332031,766.5546264648438,474.30987548828125,892.413330078125,0.855448305606842
23.png,255.41189575195312,793.5159912109375,401.8949890136719,924.54345703125,0.8854857087135315
24.png,311.3072204589844,638.7117919921875,415.3779602050781,743.8917846679688,0.8451735973358154
25.png,302.09588623046875,694.1561279296875,429.69134521484375,808.0418090820312,0.8623937964439392
26.png,298.3119201660156,618.3475952148438,412.42913818359375,739.215576171875,0.8592577576637268
27.png,285.4106750488281,775.4468383789062,432.7149353027344,910.2144775390625,0.8831281065940857
28.png,434.96453857421875,710.9368896484375,567.0110473632812,832.3303833007812,0.865183413028717
29.png,399.9643859863281,609.8319091796875,541.3556518554688,710.8698120117188,0.8380395174026489
30.png,320.8607482910156,655.7849731445312,446.6084899902344,770.8859252929688,0.8851518630981445
31.png,338.0999450683594,797.284423828125,474.5048828125,923.43505859375,0.8691605925559998
32.png,124.04642486572266,723.0368041992188,256.2330017089844,841.8508911132812,0.8668377995491028
33.png,235.0723876953125,675.3079223632812,344.61688232421875,773.7330932617188,0.855432391166687
34.png,255.81741333007812,732.1083374023438,385.49737548828125,852.3245849609375,0.8643518090248108
35.png,206.78221130371094,670.2523193359375,333.8005065917969,787.2399291992188,0.8794782757759094
36.png,261.3999938964844,742.9360961914062,394.3988952636719,853.7349853515625,0.8545604348182678
37.png,306.5435791015625,613.5881958007812,428.0504455566406,730.4344482421875,0.8510246872901917
38.png,183.8701934814453,746.211181640625,310.3292236328125,864.3111572265625,0.8619683384895325
39.png,237.71505737304688,638.1856689453125,357.646240234375,740.6002197265625,0.8704153299331665
40.png,304.79620361328125,732.953369140625,426.7756042480469,841.47802734375,0.867331326007843
41.png,302.1122741699219,745.1431884765625,441.1941833496094,863.3171997070312,0.8719833493232727
42.png,267.2479248046875,753.97509765625,402.1325378417969,876.9131469726562,0.8492627143859863
43.png,221.70860290527344,695.6373901367188,346.7314453125,813.3168334960938,0.869756817817688
44.png,306.59063720703125,679.9873046875,433.9891662597656,804.4478149414062,0.8724086880683899
45.png,284.08453369140625,691.7733764648438,409.6042785644531,806.7296752929688,0.8670691847801208
46.png,369.8451232910156,774.416015625,517.3970336914062,898.2684936523438,0.8364070057868958
47.png,268.0702209472656,765.1635131835938,421.2006530761719,895.7130126953125,0.8590897917747498
48.png,281.0031433105469,678.5613403320312,382.46875,786.293212890625,0.8802785277366638
49.png,210.0935516357422,788.8208618164062,363.8923645019531,915.7664794921875,0.8769814968109131
